"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2461                9.921786e-01        1.500000e+01        3.741657e+00        1.172380e+01        1.105279e+01        
2462                9.983412e-01        1.200000e+01        3.316625e+00        1.179643e+01        1.108600e+01        
2463                1.004504e+00        2.100000e+01        4.472136e+00        1.187309e+01        1.112117e+01        
2464                1.010666e+00        1.700000e+01        4.000000e+00        1.195397e+01        1.115834e+01        
2465                1.016829e+00        2.000000e+01        4.358899e+00        1.203928e+01        1.119767e+01        
2466                1.022992e+00        1.600000e+01        3.872983e+00        1.212923e+01        1.123921e+01        
2467                1.029154e+00        1.000000e+01        3.000000e+00        1.222404e+01        1.128313e+01        
2468                1.035317e+00        1.400000e+01        3.605551e+00        1.232396e+01        1.132956e+01        
2469                1.041479e+00        1.900000e+01        4.242641e+00        1.242921e+01        1.137856e+01        
2470                1.047642e+00        1.200000e+01        3.316625e+00        1.254006e+01        1.143034e+01        
2471                1.053805e+00        1.300000e+01        3.464102e+00        1.265677e+01        1.148495e+01        
2472                1.059967e+00        1.900000e+01        4.242641e+00        1.277960e+01        1.154261e+01        
2473                1.066130e+00        2.100000e+01        4.472136e+00        1.290884e+01        1.160343e+01        
2474                1.072292e+00        2.600000e+01        5.000000e+00        1.304478e+01        1.166756e+01        
2475                1.078455e+00        1.700000e+01        4.000000e+00        1.318773e+01        1.173523e+01        
2476                1.084618e+00        2.000000e+01        4.358899e+00        1.333799e+01        1.180648e+01        
2477                1.090780e+00        1.900000e+01        4.242641e+00        1.349591e+01        1.188161e+01        
2478                1.096943e+00        1.900000e+01        4.242641e+00        1.366180e+01        1.196070e+01        
2479                1.103105e+00        1.400000e+01        3.605551e+00        1.383604e+01        1.204402e+01        
2480                1.109268e+00        2.400000e+01        4.795832e+00        1.401897e+01        1.213178e+01        
2481                1.115431e+00        2.100000e+01        4.472136e+00        1.421097e+01        1.222409e+01        
2482                1.121593e+00        1.700000e+01        4.000000e+00        1.441243e+01        1.232126e+01        
2483                1.127756e+00        1.500000e+01        3.741657e+00        1.462376e+01        1.242339e+01        
2484                1.133918e+00        1.500000e+01        3.741657e+00        1.484536e+01        1.253084e+01        
2485                1.140081e+00        1.200000e+01        3.316625e+00        1.507766e+01        1.264378e+01        
2486                1.146244e+00        1.900000e+01        4.242641e+00        1.532111e+01        1.276245e+01        
2487                1.152406e+00        2.000000e+01        4.358899e+00        1.557617e+01        1.288720e+01        
2488                1.158569e+00        1.400000e+01        3.605551e+00        1.584329e+01        1.301812e+01        
2489                1.164731e+00        1.900000e+01        4.242641e+00        1.612297e+01        1.315565e+01        
2490                1.170894e+00        1.900000e+01        4.242641e+00        1.641571e+01        1.329993e+01        
2491                1.177057e+00        2.300000e+01        4.690416e+00        1.672202e+01        1.345138e+01        
2492                1.183219e+00        1.800000e+01        4.123106e+00        1.704244e+01        1.361033e+01        
2493                1.189382e+00        1.800000e+01        4.123106e+00        1.737750e+01        1.377691e+01        
2494                1.195544e+00        2.300000e+01        4.690416e+00        1.772777e+01        1.395165e+01        
2495                1.201707e+00        2.300000e+01        4.690416e+00        1.809382e+01        1.413467e+01        
2496                1.207870e+00        2.500000e+01        4.898979e+00        1.847626e+01        1.432651e+01        
2497                1.214032e+00        1.700000e+01        4.000000e+00        1.887569e+01        1.452745e+01        
2498                1.220195e+00        8.000000e+00        2.645751e+00        1.929273e+01        1.473783e+01        
2499                1.226357e+00        2.200000e+01        4.582576e+00        1.972804e+01        1.495818e+01        
2500                1.232520e+00        1.700000e+01        4.000000e+00        2.018227e+01        1.518863e+01        
2501                1.238683e+00        2.300000e+01        4.690416e+00        2.065610e+01        1.542984e+01        
2502                1.244845e+00        1.900000e+01        4.242641e+00        2.115023e+01        1.568199e+01        
2503                1.251008e+00        2.100000e+01        4.472136e+00        2.166537e+01        1.594572e+01        
2504                1.257170e+00        2.300000e+01        4.690416e+00        2.220227e+01        1.622152e+01        
2505                1.263333e+00        2.000000e+01        4.358899e+00        2.276167e+01        1.650956e+01        
2506                1.269496e+00        1.700000e+01        4.000000e+00        2.334436e+01        1.681060e+01        
